section_id	section_title	paper_id	why
3.1	Agent loop and action spaces	P0156	Matches subsection 'Agent loop and action spaces' via shared terms (agent, act, agent) in the paper title/abstract.
3.1	Agent loop and action spaces	P0016	Matches subsection 'Agent loop and action spaces' via shared terms (loop, action, agent) in the paper title/abstract.
3.1	Agent loop and action spaces	P0125	Matches subsection 'Agent loop and action spaces' via shared terms (agent, across, agent) in the paper title/abstract.
3.1	Agent loop and action spaces	P0139	Matches subsection 'Agent loop and action spaces' via shared terms (agent, across, agent) in the paper title/abstract.
3.1	Agent loop and action spaces	P0199	Matches subsection 'Agent loop and action spaces' via shared terms (agent, across, agent) in the paper title/abstract.
3.1	Agent loop and action spaces	P0187	Matches subsection 'Agent loop and action spaces' via shared terms (agent, agent, all) in the paper title/abstract.
3.1	Agent loop and action spaces	P0014	Matches subsection 'Agent loop and action spaces' via shared terms (agent, across, agent) in the paper title/abstract.
3.1	Agent loop and action spaces	P0041	Matches subsection 'Agent loop and action spaces' via shared terms (agent, across, agent) in the paper title/abstract.
3.1	Agent loop and action spaces	P0132	Matches subsection 'Agent loop and action spaces' via shared terms (agent, action, agent) in the paper title/abstract.
3.1	Agent loop and action spaces	P0140	Matches subsection 'Agent loop and action spaces' via shared terms (agent, across, agent) in the paper title/abstract.
3.1	Agent loop and action spaces	P0209	Matches subsection 'Agent loop and action spaces' via shared terms (agent, loop, agent) in the paper title/abstract.
3.1	Agent loop and action spaces	P0078	Matches subsection 'Agent loop and action spaces' via shared terms (agent, across, agent) in the paper title/abstract.
3.1	Agent loop and action spaces	P0032	Matches subsection 'Agent loop and action spaces' via shared terms (agent, across, agent) in the paper title/abstract.
3.1	Agent loop and action spaces	P0119	Matches subsection 'Agent loop and action spaces' via shared terms (agent, agent, architecture) in the paper title/abstract.
3.1	Agent loop and action spaces	P0027	Matches subsection 'Agent loop and action spaces' via shared terms (agent, across, agent) in the paper title/abstract.
3.1	Agent loop and action spaces	P0091	Matches subsection 'Agent loop and action spaces' via shared terms (agent, act, agent) in the paper title/abstract.
3.1	Agent loop and action spaces	P0092	Matches subsection 'Agent loop and action spaces' via shared terms (agent, agent, benchmarks) in the paper title/abstract.
3.1	Agent loop and action spaces	P0001	Matches subsection 'Agent loop and action spaces' via shared terms (across, action, benchmarks) in the paper title/abstract.
3.2	Tool interfaces and orchestration	P0017	Matches subsection 'Tool interfaces and orchestration' via shared terms (orchestration, tool, benchmarks) in the paper title/abstract.
3.2	Tool interfaces and orchestration	P0035	Matches subsection 'Tool interfaces and orchestration' via shared terms (orchestration, tool, constraints) in the paper title/abstract.
3.2	Tool interfaces and orchestration	P0033	Matches subsection 'Tool interfaces and orchestration' via shared terms (tool, across, benchmarks) in the paper title/abstract.
3.2	Tool interfaces and orchestration	P0075	Matches subsection 'Tool interfaces and orchestration' via shared terms (tool, across, calling) in the paper title/abstract.
3.2	Tool interfaces and orchestration	P0109	Matches subsection 'Tool interfaces and orchestration' via shared terms (tool, across, design) in the paper title/abstract.
3.2	Tool interfaces and orchestration	P0155	Matches subsection 'Tool interfaces and orchestration' via shared terms (tool, architecture, core) in the paper title/abstract.
3.2	Tool interfaces and orchestration	P0080	Matches subsection 'Tool interfaces and orchestration' via shared terms (across, apis, calling) in the paper title/abstract.
3.2	Tool interfaces and orchestration	P0171	Matches subsection 'Tool interfaces and orchestration' via shared terms (tool, data, datasets) in the paper title/abstract.
3.2	Tool interfaces and orchestration	P0027	Matches subsection 'Tool interfaces and orchestration' via shared terms (tool, across, all) in the paper title/abstract. (also mapped 1× already)
3.2	Tool interfaces and orchestration	P0093	Matches subsection 'Tool interfaces and orchestration' via shared terms (tool, data, evaluation) in the paper title/abstract.
3.2	Tool interfaces and orchestration	P0098	Matches subsection 'Tool interfaces and orchestration' via shared terms (tool, across, evidence) in the paper title/abstract.
3.2	Tool interfaces and orchestration	P0056	Matches subsection 'Tool interfaces and orchestration' via shared terms (tool, all, evaluation) in the paper title/abstract.
3.2	Tool interfaces and orchestration	P0058	Matches subsection 'Tool interfaces and orchestration' via shared terms (tool, across, calling) in the paper title/abstract.
3.2	Tool interfaces and orchestration	P0140	Matches subsection 'Tool interfaces and orchestration' via shared terms (tool, across, all) in the paper title/abstract. (also mapped 1× already)
3.2	Tool interfaces and orchestration	P0047	Matches subsection 'Tool interfaces and orchestration' via shared terms (benchmarks, data, datasets) in the paper title/abstract.
3.2	Tool interfaces and orchestration	P0054	Matches subsection 'Tool interfaces and orchestration' via shared terms (tool, evaluation, identify) in the paper title/abstract.
3.2	Tool interfaces and orchestration	P0168	Matches subsection 'Tool interfaces and orchestration' via shared terms (tool, data, evaluation) in the paper title/abstract.
3.2	Tool interfaces and orchestration	P0001	Matches subsection 'Tool interfaces and orchestration' via shared terms (across, benchmarks, human) in the paper title/abstract. (also mapped 1× already)
4.1	Planning and reasoning loops	P0024	Matches subsection 'Planning and reasoning loops' via shared terms (planning, reasoning, across) in the paper title/abstract.
4.1	Planning and reasoning loops	P0059	Matches subsection 'Planning and reasoning loops' via shared terms (planning, how, memory) in the paper title/abstract.
4.1	Planning and reasoning loops	P0016	Matches subsection 'Planning and reasoning loops' via shared terms (reasoning, architecture, calls) in the paper title/abstract. (also mapped 1× already)
4.1	Planning and reasoning loops	P0061	Matches subsection 'Planning and reasoning loops' via shared terms (reasoning, across, components) in the paper title/abstract.
4.1	Planning and reasoning loops	P0209	Matches subsection 'Planning and reasoning loops' via shared terms (planning, reasoning, all) in the paper title/abstract. (also mapped 1× already)
4.1	Planning and reasoning loops	P0043	Matches subsection 'Planning and reasoning loops' via shared terms (planning, across, benchmarks) in the paper title/abstract.
4.1	Planning and reasoning loops	P0151	Matches subsection 'Planning and reasoning loops' via shared terms (across, all, calls) in the paper title/abstract.
4.1	Planning and reasoning loops	P0208	Matches subsection 'Planning and reasoning loops' via shared terms (planning, all, design) in the paper title/abstract.
4.1	Planning and reasoning loops	P0087	Matches subsection 'Planning and reasoning loops' via shared terms (planning, benchmarks, cover) in the paper title/abstract.
4.1	Planning and reasoning loops	P0021	Matches subsection 'Planning and reasoning loops' via shared terms (reasoning, explicit, how) in the paper title/abstract.
