unit_id,title,type,skill,inputs,outputs,acceptance,checkpoint,status,depends_on,owner
U001,Initialize workspace and copy templates,META,workspace-init,,STATUS.md;CHECKPOINTS.md;UNITS.csv;DECISIONS.md;GOAL.md;output/QUALITY_GATE.md;output/RUN_ERRORS.md,workspace目录存在且模板文件齐全（含 error sinks: QUALITY_GATE/RUN_ERRORS）,C0,TODO,,CODEX
U002,Draft kickoff questions + seed queries,META,pipeline-router,GOAL.md,DECISIONS.md;queries.md,DECISIONS含C0问题块；queries.md 含非空关键词,C0,TODO,U001,CODEX
U010,Collect candidate papers (multi-route) and normalize metadata,RETRIEVE,literature-engineer,queries.md,papers/papers_raw.jsonl;papers/retrieval_report.md,papers_raw.jsonl >= 1200 条记录（A150++ 默认；目标 1500+），且每条含 title/authors/year/url + 稳定标识（arxiv_id/doi）+ provenance；abstract 模式下 abstract 缺失率应显著低于“多数缺失”；retrieval_report.md 记录来源/覆盖桶/缺失字段统计,C1,TODO,U002,CODEX
U020,Dedupe+rank and produce core set,CURATE,dedupe-rank,papers/papers_raw.jsonl,papers/papers_dedup.jsonl;papers/core_set.csv,去重后重复率<2%，dedup 池足够大（A150++ 期望 dedup >=1200）；core_set=300（A150++ 默认；为 citations>=150 与每小节高密度证据绑定留出空间）,C1,TODO,U010,CODEX
U030,Build taxonomy (2-level minimum),STRUCTURE,taxonomy-builder,papers/core_set.csv,outline/taxonomy.yml,taxonomy至少2层且节点有说明,C2,TODO,U020,CODEX
U040,Build outline bullets from taxonomy,STRUCTURE,outline-builder,outline/taxonomy.yml,outline/outline.yml,outline含章节+小节，且每小节至少3个bullet,C2,TODO,U030,CODEX
U050,Map papers to each subsection,STRUCTURE,section-mapper,papers/core_set.csv;outline/outline.yml,outline/mapping.tsv,每小节映射>=28篇论文（A150++ 默认；覆盖率=100%）；避免少数论文跨小节过度复用（除非 truly cross-cutting），为后续 binder/packs/writer 提供宽引用池,C2,TODO,U040,CODEX
U051,Planner pass: coverage report + outline state (NO PROSE),STRUCTURE,outline-refiner,outline/outline.yml;outline/mapping.tsv;GOAL.md,outline/coverage_report.md;outline/outline_state.jsonl,coverage_report.md 含 per-subsection 表；outline_state.jsonl 至少1条记录；无占位/无省略号,C2,TODO,U050,CODEX
U052,Draft C2 review summary (scope+outline),META,pipeline-router,outline/taxonomy.yml;outline/outline.yml;outline/mapping.tsv;outline/coverage_report.md,DECISIONS.md,DECISIONS含C2 review摘要,C2,TODO,U051,CODEX
U055,HUMAN approve C2 (scope+outline),META,human-checkpoint,DECISIONS.md,DECISIONS.md,勾选 DECISIONS.md 的 Approve C2,C2,TODO,U052,HUMAN
U058,Download PDFs + extract fulltext snippets,EVIDENCE,pdf-text-extractor,papers/core_set.csv;outline/mapping.tsv,papers/fulltext_index.jsonl,fulltext_index非空；若 evidence_mode=fulltext 则需若干篇提取成功（strict 会拦截接近0）,C3,TODO,U055,CODEX
U060,Write paper notes + evidence bank for core set,EVIDENCE,paper-notes,papers/core_set.csv;papers/fulltext_index.jsonl,papers/paper_notes.jsonl;papers/evidence_bank.jsonl,core_set覆盖率100%；标注 evidence_level；生成 papers/evidence_bank.jsonl（A150++ 目标：>=2100 条，约 >=7 items/纸）；避免大量重复模板泄漏到下游,C3,TODO,U058,CODEX
U075,Build subsection briefs (writing cards) [NO PROSE],EVIDENCE,subsection-briefs,outline/outline.yml;outline/mapping.tsv;papers/paper_notes.jsonl;GOAL.md,outline/subsection_briefs.jsonl,每个H3生成写作意图卡（scope_rule/rq/thesis/axes/clusters/paragraph_plan=10；每段含 argument_role+connector_to_prev+connector_phrase）；无省略号/无占位符,C3,TODO,U060,CODEX
U076,Build chapter briefs (H2 writing cards) [NO PROSE],EVIDENCE,chapter-briefs,outline/outline.yml;outline/subsection_briefs.jsonl;GOAL.md,outline/chapter_briefs.jsonl,每个含H3的H2生成 chapter brief（synthesis_mode+synthesis_preview+throughline/key_contrasts/lead_paragraph_plan）；无占位/无省略号,C3,TODO,U075,CODEX
U090,Verify citations and build ref.bib,CITE,citation-verifier,papers/paper_notes.jsonl,citations/ref.bib;citations/verified.jsonl,ref.bib每条都有verified.jsonl记录（url+date+title）,C4,TODO,U060,CODEX
U091,Bind evidence IDs to subsections (evidence plan) [NO PROSE],EVIDENCE,evidence-binder,outline/subsection_briefs.jsonl;outline/mapping.tsv;papers/evidence_bank.jsonl;citations/ref.bib,outline/evidence_bindings.jsonl;outline/evidence_binding_report.md,每个H3绑定 evidence_ids（A150++ 硬门槛 >=24；目标 28）；mapped_bibkeys>=28；bibkeys(精选可用引用)>=20；evidence_ids 可在 evidence_bank 中定位；无占位/无省略号,C4,TODO,U090;U075;U060,CODEX
U092,Build evidence packs per subsection [NO PROSE],EVIDENCE,evidence-draft,outline/subsection_briefs.jsonl;papers/paper_notes.jsonl;papers/evidence_bank.jsonl;outline/evidence_bindings.jsonl;citations/ref.bib,outline/evidence_drafts.jsonl,每个H3证据包达标：concrete_comparisons>=8；evidence_snippets>=12；evaluation_protocol>=5；failures_limitations>=5；blocking_missing为空；引用key可在 ref.bib 验证；无占位/无省略号,C4,TODO,U091,CODEX
